review_id,product_url,text,rating,date_raw,date,is_from_2023
hiking-boots-outdoor-1,https://web-scraping.dev/product/7,These boots are fantastic for hiking. The grip on the soles is really good.,5,2022-06-15,2022-06-15,False
hiking-boots-outdoor-2,https://web-scraping.dev/product/7,Comfortable and sturdy. Perfect for outdoor adventures.,5,2022-07-30,2022-07-30,False
hiking-boots-outdoor-3,https://web-scraping.dev/product/7,Good quality boots. They keep my feet dry and comfortable during long hikes.,4,2022-08-15,2022-08-15,False
hiking-boots-outdoor-4,https://web-scraping.dev/product/7,"These boots are durable and comfortable, but they're a bit heavy.",4,2022-09-28,2022-09-28,False
hiking-boots-outdoor-5,https://web-scraping.dev/product/7,"Great boots! The size was perfect, and they're very comfortable.",5,2022-10-19,2022-10-19,False
women-sandals-1,https://web-scraping.dev/product/8,Stylish and comfortable! I love the strappy design.,5,2022-06-12,2022-06-12,False
women-sandals-2,https://web-scraping.dev/product/8,"These sandals look great, but they're a bit tight. Maybe they'll stretch over time.",4,2022-07-18,2022-07-18,False
women-sandals-3,https://web-scraping.dev/product/8,Absolutely love these sandals! They're so elegant and surprisingly comfortable.,5,2022-08-03,2022-08-03,False
women-sandals-4,https://web-scraping.dev/product/8,"The sandals are pretty, but the heel is higher than I expected.",3,2022-09-27,2022-09-27,False
women-sandals-5,https://web-scraping.dev/product/8,"Great quality for the price. The buckle closure is secure, and the heel feels sturdy.",4,2022-10-14,2022-10-14,False
men-running-shoes-1,https://web-scraping.dev/product/9,"Great shoes for running! Comfortable and stylish, with excellent traction.",5,2022-07-01,2022-07-01,False
men-running-shoes-2,https://web-scraping.dev/product/9,Very happy with my purchase. These shoes provide good support for my morning jogs.,4,2022-07-20,2022-07-20,False
men-running-shoes-3,https://web-scraping.dev/product/9,"These shoes look good, but they wore out a bit faster than I expected.",3,2022-08-10,2022-08-10,False
men-running-shoes-4,https://web-scraping.dev/product/9,"Best running shoes I've had in a while. They're really comfortable, even on long runs.",5,2022-09-15,2022-09-15,False
men-running-shoes-5,https://web-scraping.dev/product/9,"Good shoes, but they run a little small. I'd recommend ordering a half size up.",4,2022-10-05,2022-10-05,False
kids-light-up-sneakers-1,https://web-scraping.dev/product/10,My daughter loves these shoes! She doesn't want to take them off. They're comfortable and the lights are a big hit.,5,2022-07-01,2022-07-01,False
kids-light-up-sneakers-2,https://web-scraping.dev/product/10,"Bought these for my son's birthday, and they were the star of the party. Great shoes!",5,2022-07-20,2022-07-20,False
kids-light-up-sneakers-3,https://web-scraping.dev/product/10,"Cool shoes, but the lights stopped working after a few weeks.",3,2022-08-10,2022-08-10,False
kids-light-up-sneakers-4,https://web-scraping.dev/product/10,Comfortable and fun! My child loves showing off the light-up feature to friends.,4,2022-09-15,2022-09-15,False
kids-light-up-sneakers-5,https://web-scraping.dev/product/10,"Nice design and the lights are bright. However, they run a bit small. Order a size up.",4,2022-10-05,2022-10-05,False
classic-leather-sneakers-1,https://web-scraping.dev/product/11,"These shoes are not only stylish, but also super comfortable. They're perfect for any occasion!",5,2022-06-15,2022-06-15,False
classic-leather-sneakers-2,https://web-scraping.dev/product/11,I love the classic design of these sneakers. They match well with my outfits. The leather is of top quality.,4,2022-07-10,2022-07-10,False
classic-leather-sneakers-3,https://web-scraping.dev/product/11,I got the black ones and they look sleek. Got compliments on the first day I wore them out.,5,2022-08-07,2022-08-07,False
classic-leather-sneakers-4,https://web-scraping.dev/product/11,They're nice shoes but they felt a little tight at first. They loosened up after a few days though.,3,2022-09-12,2022-09-12,False
classic-leather-sneakers-5,https://web-scraping.dev/product/11,Was looking for a good pair of white sneakers and these fit the bill. Excellent quality and design.,5,2022-11-20,2022-11-20,False
cat-ear-beanie-1,https://web-scraping.dev/product/12,"Love this Cat Ear Beanie! It's so cute and surprisingly warm. The material is so soft, and the cat ears are a nice touch!",5,2022-07-15,2022-07-15,False
cat-ear-beanie-2,https://web-scraping.dev/product/12,"A cozy and unique beanie. Received a lot of compliments. Plus, it's cat-themed, so that's a win for me!",4,2022-09-20,2022-09-20,False
cat-ear-beanie-3,https://web-scraping.dev/product/12,"Great beanie, but I wish there were more colors available. The cat ears design is really nice.",3,2022-10-05,2022-10-05,False
cat-ear-beanie-4,https://web-scraping.dev/product/12,"I bought this for my daughter, and she adores it! It's become her favorite winter accessory.",5,2022-12-25,2022-12-25,False
cat-ear-beanie-5,https://web-scraping.dev/product/12,A must-have for cat lovers. It's adorable and keeps me warm during chilly weather.,4,2023-01-10,2023-01-10,True
hiking-boots-outdoor-1,https://web-scraping.dev/product/19,These boots are fantastic for hiking. The grip on the soles is really good.,5,2022-06-15,2022-06-15,False
hiking-boots-outdoor-2,https://web-scraping.dev/product/19,Comfortable and sturdy. Perfect for outdoor adventures.,5,2022-07-30,2022-07-30,False
hiking-boots-outdoor-3,https://web-scraping.dev/product/19,Good quality boots. They keep my feet dry and comfortable during long hikes.,4,2022-08-15,2022-08-15,False
hiking-boots-outdoor-4,https://web-scraping.dev/product/19,"These boots are durable and comfortable, but they're a bit heavy.",4,2022-09-28,2022-09-28,False
